company,stock,grow_year,price,dividend_yield,dividend,dividend_pay_times,dividend_year
ACRE,Ares Commercial Real Estate Corporation,5,15.87,8.32,0.33,4,1.32
ASRV,"AmeriServ Financial, Inc.",5,4.17,2.4,0.025,4,0.1
AY,Atlantica Yield plc,5,36.22,4.75,0.43,4,1.72
BAX,Baxter International Inc.,5,81.69,1.37,0.28,4,1.12
BOH,Bank of Hawaii Corporation,5,88.81,3.02,0.67,4,2.68
BWFG,"Bankwell Financial Group, Inc.",5,29.05,1.93,0.14,4,0.56
CBAN,"Colony Bankcorp, Inc.",5,18.28,6.73,0.103,12,1.23
CNA,CNA Financial Corporation,5,47.77,3.18,0.38,4,1.52
COG,Cabot Oil & Gas Corporation,5,16.8,2.62,0.11,4,0.44
COP,ConocoPhillips,5,59.47,2.89,0.43,4,1.72
CQP,"Cheniere Energy Partners, L.P.",5,41.9,6.3,0.66,4,2.64
CRAI,"CRA International, Inc.",5,84.24,1.23,0.26,4,1.04
CW,Curtiss-Wright Corporation,5,124.67,0.58,0.18,4,0.72
DRE,Duke Realty Corporation,5,48.14,2.12,0.255,4,1.02
EIG,"Employers Holdings, Inc.",5,42.43,2.36,0.25,4,1
EXC,Exelon Corporation,5,45.77,3.34,0.383,4,1.53
FCAP,"First Capital, Inc.",5,45.3,2.3,0.26,4,1.04
FCCY,1st Constitution Bancorp,5,20.85,1.92,0.1,4,0.4
FCF,First Commonwealth Financial Corporation,5,15.28,3.01,0.115,4,0.46
FCNC.A,"First Citizens BancShares, Inc.",5,867.71,0.22,0.47,4,1.88
FFNW,"First Financial Northwest, Inc.",5,14.38,3.06,0.11,4,0.44
FMNB,Farmers National Banc Corp.,5,17.37,2.53,0.11,4,0.44
G,Genpact Limited,5,45.77,0.94,0.108,4,0.43
GHC,Graham Holdings Company,5,647.05,0.93,1.51,4,6.04
GRA,W. R. Grace & Co.,5,68.75,1.92,0.33,4,1.32
GWRS,"Global Water Resources, Inc.",5,17.13,1.7,0.025,12,0.29
HMC,"Honda Motor Co., Ltd.",5,33.06,5.99,0.496,4,1.98
HPE,Hewlett Packard Enterprise Company,5,15.9,3.02,0.12,4,0.48
HRB,"H&R Block, Inc.",5,24.97,4.16,0.26,4,1.04
HTH,Hilltop Holdings Inc.,5,37.54,1.28,0.12,4,0.48
IROQ,"IF Bancorp, Inc.",5,22.5852,1.33,0.15,2,0.3
JEF,Jefferies Financial Group Inc.,5,31.9,2.51,0.2,4,0.8
KNSL,"Kinsale Capital Group, Inc.",5,160.45,0.27,0.11,4,0.44
KSU,Kansas City Southern,5,298.83,0.72,0.54,4,2.16
LSBK,"Lake Shore Bancorp, Inc.",5,14.7707,3.52,0.13,4,0.52
LW,"Lamb Weston Holdings, Inc.",5,83.6,1.12,0.235,4,0.94
MDC,"M.D.C. Holdings, Inc.",5,55.36,2.89,0.4,4,1.6
MGP,MGM Growth Properties LLC,5,35.76,5.54,0.495,4,1.98
MRTN,"Marten Transport, Ltd.",5,16.96,0.94,0.04,4,0.16
MSBI,"Midland States Bancorp, Inc.",5,28,4,0.28,4,1.12
MVBF,MVB Financial Corp.,5,43.07,1.11,0.12,4,0.48
NI,NiSource Inc.,5,25.48,3.45,0.22,4,0.88
NOA,North American Construction Group Ltd.,5,14.39,0.92,0.034,4,0.13
NSC,Norfolk Southern Corporation,5,279.57,1.42,0.99,4,3.96
ODFL,"Old Dominion Freight Line, Inc.",5,264.18,0.3,0.2,4,0.8
OLED,Universal Display Corporation,5,211.9,0.38,0.2,4,0.8
OTTW,"Ottawa Bancorp, Inc.",5,14.48,2.76,0.1,4,0.4
PFIS,Peoples Financial Services Corp.,5,43.95,3.37,0.37,4,1.48
PRGS,Progress Software Corporation,5,45.34,1.54,0.175,4,0.7
RACE,Ferrari N.V.,5,215.43,0.57,1.228,1,1.23
RNST,Renasant Corporation,5,44.04,2,0.22,4,0.88
SCHW,The Charles Schwab Corporation,5,76.01,0.95,0.18,4,0.72
SHBI,"Shore Bancshares, Inc.",5,17.65,2.72,0.12,4,0.48
SIMO,Silicon Motion Technology Corporation,5,64.6,2.17,0.35,4,1.4
SIRI,Sirius XM Holdings Inc.,5,6.38,0.92,0.015,4,0.06
SSNC,"SS&C Technologies Holdings, Inc.",5,72.74,0.88,0.16,4,0.64
SUI,"Sun Communities, Inc.",5,170.03,1.95,0.83,4,3.32
SYX,Systemax Inc.,5,34.31,1.87,0.16,4,0.64
TAIT,Taitron Components Incorporated,5,6.12,2.61,0.04,4,0.16
TRTN,Triton International Limited,5,52.94,4.31,0.57,4,2.28
VSH,"Vishay Intertechnology, Inc.",5,23.62,1.61,0.095,4,0.38
VVV,Valvoline Inc.,5,33.54,1.49,0.125,4,0.5
WLTW,Willis Towers Watson Public Limited Company,5,258.74,1.1,0.71,4,2.84
AEM,Agnico Eagle Mines Limited,6,69.98,2,0.35,4,1.4
AMNB,American National Bankshares Inc.,6,34.9,3.09,0.27,4,1.08
BAP,Credicorp Ltd.,6,141.84,6.21,8.803,1,8.8
BCE,BCE Inc.,6,50.16,5.59,0.702,4,2.8
BMO,Bank of Montreal,6,106.22,3.25,0.863,4,3.45
BNS,The Bank of Nova Scotia,6,67.47,4.26,0.719,4,2.87
BPOP,"Popular, Inc.",6,81.81,2.2,0.45,4,1.8
BWXT,"BWX Technologies, Inc.",6,63.62,1.32,0.21,4,0.84
C,Citigroup Inc.,6,79.63,2.56,0.51,4,2.04
CABO,"Cable One, Inc.",6,1760.03,0.57,2.5,4,10
CCMP,Cabot Microelectronics Corporation,6,147.68,1.25,0.46,4,1.84
CFG,"Citizens Financial Group, Inc.",6,50.3,3.1,0.39,4,1.56
CGNX,Cognex Corporation,6,77.92,0.31,0.06,4,0.24
CHCT,Community Healthcare Trust Incorporated,6,47.57,3.62,0.43,4,1.72
CNQ,Canadian Natural Resources Limited,6,37.16,4.05,0.377,4,1.51
CP,Canadian Pacific Railway Limited,6,81.19,0.74,0.151,4,0.6
CSWC,Capital Southwest Corporation,6,26.8,7.91,0.53,4,2.12
DLB,"Dolby Laboratories, Inc.",6,95.41,0.92,0.22,4,0.88
EBSB,"Meridian Bancorp, Inc.",6,22,1.82,0.1,4,0.4
EFSC,Enterprise Financial Services Corp,6,49.59,1.45,0.18,4,0.72
