,EPS,Free Cash Flow,ROE,IC,Net Margin,Dividend,score
BAX,No,Yes,Yes ,> 4,No,Yes,3.5
BOH,Yes,Yes,Yes ,No Dept,>20%,Yes,6.0
COG,Yes,No,No,> 4,>10%,Yes,3.0
CW,Yes,Yes,No,> 4,Growing,Yes,4.0
EIG,Yes,No,No,>  10,>20%,Yes,4.0
FCAP,Yes,Yes,No,No Dept,>20%,Yes,5.0
FCCY,Yes,No,No,No Dept,>20%,No,3.0
FCF,Yes,Yes,No,No Dept,>20%,Yes,5.0
FFNW,Yes,Yes,No,No Dept,>20%,No,4.0
FMNB,Yes,Yes,No,No Dept,>20%,Yes,5.0
G,Yes,Yes,Yes ,> 4,No,No,3.5
HTH,Yes,No,No,No Dept,>20%,No,3.0
IROQ,Yes,No,No,No Dept,>20%,No,3.0
JEF,No,No,No,No Dept,>10%,Yes,2.5
KNSL,No,No,No,No Dept,>20%,No,2.0
KSU,Yes,No,No,No,No,No,1.0
LSBK,Yes,Yes,No,No Dept,>20%,Yes,5.0
LW,No,No,Yes ,> 4,No,No,1.5
MDC,Yes,No,No,No Dept,>10%,No,2.5
MGP,No,No,No,No,>20%,No,1.0
MRTN,Yes,No,Yes ,No Dept,Growing,Yes,4.5
MSBI,No,No,No,No Dept,>10%,No,1.5
MVBF,Yes,No,No,No Dept,>20%,Yes,4.0
NI,No,No,No,No,No,Yes,1.0
NOA,No,Yes,No,No,Growing,Yes,2.5
NSC,Yes,Yes,Yes ,> 4,>20%,Yes,5.5
ODFL,Yes,No,Yes ,>  10,>10%,No,3.5
OLED,Yes,No,Yes ,No Dept,>20%,No,4.0
OTTW,Yes,Yes,No,No Dept,>10%,No,3.5
PFIS,Yes,Yes,No,No Dept,>20%,Yes,5.0
PRGS,Yes,No,No,> 4,>10%,No,2.0
RACE,No,No,Yes ,>  10,>20%,No,3.0
RNST,Yes,Yes,No,No Dept,>10%,Yes,4.5
SCHW,Yes,Yes,No,No Dept,>20%,Yes,5.0
SHBI,Yes,Yes,No,No Dept,>20%,No,4.0
SIMO,No,Yes,Yes ,No Dept,>10%,No,3.5
SIRI,No,Yes,Yes ,No,No,No,2.0
SSNC,Yes,Yes,No,> 4,>10%,No,3.0
SUI,Yes,No,No,No,>10%,Yes,2.5
TAIT,Yes,No,No,No Dept,>20%,No,3.0
TRTN,No,No,No,No Dept,>20%,No,2.0
VSH,No,Yes,No,> 4,No,No,1.5
VVV,No,No,Yes ,> 4,>10%,No,2.0
WLTW,Yes,Yes,No,> 4,>10%,Yes,4.0
AMNB,Yes,Yes,No,No Dept,>20%,Yes,5.0
BNS,Yes,Yes,No,No Dept,>20%,Yes,5.0
BPOP,Yes,Yes,No,No Dept,>20%,No,4.0
BWXT,Yes,No,Yes ,>  10,>10%,No,3.5
C,Yes,No,No,No Dept,>20%,Yes,4.0
CABO,No,No,No,> 4,>20%,No,1.5
CCMP,Yes,Yes,Yes ,No,No,No,3.0
CFG,Yes,No,No,No Dept,>20%,No,3.0
CGNX,Yes,Yes,Yes ,No Dept,>20%,No,5.0
CHCT,No,No,No,No,>20%,No,1.0
CNQ,No,Yes,No,> 4,>10%,Yes,3.0
CP,No,Yes,Yes ,>  10,>20%,Yes,5.0
CSWC,No,No,Yes ,No Dept,>20%,Yes,4.0
DLB,No,Yes,Yes ,>  10,>20%,No,4.0
EBSB,Yes,No,No,No Dept,>20%,No,3.0
EFSC,Yes,Yes,No,No Dept,>20%,Yes,5.0
EVA,No,No,No,No,Growing,No,0.5
FCFS,Yes,Yes,Yes ,> 4,No,No,3.5
FCPT,No,No,No,No,>20%,No,1.0
FGBI,Yes,Yes,No,No Dept,>20%,Yes,5.0
FMS,No,Yes,No,> 4,No,Yes,2.5
FNCB,Yes,No,No,No Dept,>20%,No,3.0
FSV,No,Yes,No,>  10,Growing,No,2.5
FTS,No,Yes,No,No,>10%,Yes,2.5
FWRD,No,Yes,Yes ,>  10,No,Yes,4.0
GBX,Yes,No,No,No,No,No,1.0
GFED,Yes,Yes,No,No Dept,>10%,No,3.5
GILD,No,Yes,Yes ,> 4,>10%,No,3.0
HLI,No,No,Yes ,No Dept,>20%,No,3.0
HOFT,No,No,No,>  10,Growing,Yes,2.5
IMO,No,Yes,No,No,No,Yes,2.0
KBAL,Yes,No,No,>  10,Growing,Yes,3.5
KRNY,Yes,Yes,No,No Dept,>20%,No,4.0
LCII,Yes,Yes,Yes ,>  10,Growing,No,4.5
MED,Yes,Yes,Yes ,No Dept,>10%,No,4.5
MGPI,Yes,No,Yes ,No Dept,>10%,Yes,4.5
MLM,Yes,Yes,No,> 4,>10%,Yes,4.0
NBHC,Yes,No,No,No Dept,>20%,No,3.0
NSA,No,No,No,No,>10%,No,0.5
NXRT,No,No,No,No,Growing,No,0.5
ORRF,Yes,Yes,No,No Dept,>20%,No,4.0
PEBO,Yes,Yes,No,No Dept,>20%,Yes,5.0
PUB,No,No,No,No,No,No,0.0
RELX,No,Yes,Yes ,>  10,>10%,Yes,4.5
RMAX,No,Yes,No,> 4,No,No,1.5
