,EPS,Free Cash Flow,ROE,IC,Net Margin,Dividend,score
AAON,Yes,No,Yes ,No Dept,>10%,Yes,4.5
AAWW,Yes,No,No,> 4,>10%,No,2.0
ABB,No,Yes,Yes ,> 4,>20%,Yes,4.5
ACU,Yes,No,No,>  10,Growing,Yes,3.5
AGCO,No,Yes,No,>  10,No,No,2.0
AIMC,No,Yes,No,No,Growing,No,1.5
AIN,Yes,No,No,>  10,>10%,Yes,3.5
AIT,No,Yes,Yes ,> 4,No,Yes,3.5
AL,Yes,No,No,>  10,>20%,No,3.0
ALG,Yes,No,Yes ,> 4,No,Yes,3.5
ALGT,No,No,Yes ,No,No,No,1.0
ALSN,No,Yes,Yes ,No,>10%,No,2.5
AME,Yes,Yes,Yes ,>  10,>10%,Yes,5.5
AMOT,Yes,Yes,Yes ,> 4,No,Yes,4.5
AMRC,Yes,No,No,No Dept,Growing,No,2.5
ARCB,Yes,Yes,No,>  10,Growing,Yes,4.5
ASGN,Yes,Yes,No,> 4,Growing,No,3.0
ASTE,Yes,No,No,>  10,No,No,2.0
ATKR,No,No,No,>  10,>10%,No,1.5
AWI,No,No,No,>  10,>10%,No,1.5
BA,No,No,No,No,No,No,0.0
BAH,Yes,Yes,Yes ,>  10,Growing,Yes,5.5
BBSI,Yes,No,Yes ,>  10,No,Yes,4.0
BCC,Yes,No,No,>  10,Growing,No,2.5
BLDR,Yes,No,No,> 4,Growing,No,2.0
BRC,No,Yes,No,>  10,>10%,Yes,3.5
BWXT,No,No,Yes ,>  10,>10%,No,2.5
CACI,Yes,Yes,No,>  10,Growing,No,3.5
CAR,No,No,No,No,No,No,0.0
CAT,No,Yes,No,> 4,No,Yes,2.5
CBZ,Yes,No,No,>  10,Growing,No,2.5
CHRW,Yes,Yes,Yes ,>  10,No,Yes,5.0
CLH,Yes,Yes,No,No,No,No,2.0
CMI,Yes,Yes,Yes ,>  10,No,Yes,5.0
CNR,No,Yes,No,No,Growing,No,1.5
CPRT,Yes,Yes,Yes ,>  10,>20%,No,5.0
CRAI,Yes,No,No,>  10,No,No,2.0
CSGP,Yes,Yes,No,No Dept,>10%,No,3.5
CSL,Yes,Yes,Yes ,> 4,Growing,Yes,5.0
CSWI,No,No,No,>  10,No,No,1.0
CSX,No,Yes,Yes ,> 4,>20%,Yes,4.5
CTAS,Yes,Yes,Yes ,>  10,>10%,Yes,5.5
CVA,No,No,No,No,No,Yes,1.0
CVGI,No,No,No,No,No,No,0.0
DAL,No,No,No,No,No,No,0.0
