index,stock
1,BAX
2,BOH
3,COG
4,CW
5,EIG
6,FCAP
7,FCCY
8,FCF
9,FFNW
10,FMNB
11,G
12,HTH
13,IROQ
14,JEF
15,KNSL
16,KSU
17,LSBK
18,LW
19,MDC
20,MGP
21,MRTN
22,MSBI
23,MVBF
24,NI
25,NOA
26,NSC
27,ODFL
28,OLED
29,OTTW
30,PFIS
31,PRGS
32,RACE
33,RNST
34,SCHW
35,SHBI
36,SIMO
37,SIRI
38,SSNC
39,SUI
40,TAIT
41,TRTN
42,VSH
43,VVV
44,WLTW
45,AMNB
46,BNS
47,BPOP
48,BWXT
49,C
50,CABO
51,CCMP
52,CFG
53,CGNX
54,CHCT
55,CNQ
56,CP
57,CSWC
58,DLB
59,EBSB
60,EFSC
61,EVA
62,FCFS
63,FCPT
64,FGBI
65,FMS
66,FNCB
67,FSV
68,FTS
69,FWRD
70,GBX
71,GFED
72,GILD
73,HLI
74,HOFT
75,IMO
76,KBAL
77,KRNY
78,LCII
79,MED
80,MGPI
81,MLM
82,NBHC
83,NSA
84,NXRT
85,ORRF
86,PEBO
87,PUB
88,RELX
89,RMAX
90,RVSB
91,RY
92,SAH
93,SAP
94,SHLX
95,SLF
96,SMMF
97,STN
98,STZ
99,STZ.B
100,TD
101,TFII
102,TFSL
103,TRP
104,WINA
105,WLKP
106,ALG
107,BAC
108,CTRE
109,CVBF
110,DG
111,DHIL
112,DHR
113,DKS
114,EHC
115,EQIX
116,ETR
117,FDBC
118,FDX
119,FRAF
120,FXNC
121,GLPI
122,GSBC
123,HBCP
124,HTBK
125,HTLF
126,IBCP
127,INTC
128,ISBC
129,ISTR
130,LAND
131,LOGI
132,LRCX
133,LZB
134,MAS
135,MCBC
136,MFNC
137,MS
138,MSCI
139,MWA
140,NEP
141,NEU
142,NNI
143,NPO
144,OGS
145,PKBK
146,PSXP
147,SFBS
148,SNV
149,STOR
150,SWKS
151,TTEC
152,TTEK
153,UCBI
154,UTL
155,VALU
156,WMS
157,WU
158,ABT
159,ACC
160,AEE
161,ALLE
162,AVT
163,BANR
164,BFC
165,BUSE
166,CCBG
167,CCI
168,CDW
169,CPF
170,CSGS
171,DHI
172,FCCO
173,FIBK
174,FMBI
175,FRC
176,FSBW
177,GCBC
178,HCKT
179,HFBL
180,HNNA
181,HURC
182,HVT
183,IBTX
184,ICE
185,JOUT
186,LKFN
187,LLY
188,LSTR
189,NBTB
190,OSK
191,OVLY
192,PLD
193,QTS
194,RE
195,REG
196,REXR
197,RF
198,RMD
199,SBFG
200,SCVL
201,SFBC
202,SIGI
203,SSD
204,STAG
205,STBA
206,UBCP
207,UNTY
208,VMC
209,WSFS
210,WSO
211,WSO.B
212,WTFC
213,ZION
214,AAPL
215,ABBV
216,ABR
217,AMSF
218,ASB
219,AXP
220,BC
221,BSRR
222,BXS
223,CAC
224,CLDB
225,CONE
226,DOX
227,DPZ
228,EXPO
229,FBHS
230,FBIZ
231,FCBC
232,FIX
233,FNLC
234,FR
235,FSFG
236,GABC
237,GS
238,GTY
239,HFWA
240,HII
241,HTA
242,IPG
243,ITT
244,MBWM
245,NDAQ
246,NFBK
247,NTRS
248,PEBK
249,POWI
250,RJF
251,SSB
252,TCBK
253,UNB
254,ZTS
