index,stock
1,ABM
2,ADM
3,ADP
4,AFL
5,ALB
6,AOS
7,APD
8,ARTNA
9,ATO
10,ATR
11,AWR
12,BDX
13,BEN
14,BF.B
15,BKH
16,BMI
17,BRC
18,BRO
19,CAH
20,CAT
21,CB
22,CHD
23,CINF
24,CL
25,CLX
26,CNI
27,CSL
28,CTAS
29,CVX
30,CWT
31,DCI
32,DOV
33,ECL
34,ED
35,EMR
36,ENB
37,ERIE
38,ESS
39,EXPD
40,FELE
41,FRT
42,FUL
43,GD
44,GPC
45,GWW
46,HRL
47,IBM
48,ITW
49,JKHY
50,JNJ
51,JW.A
52,KMB
53,KO
54,LANC
55,LECO
56,LEG
57,LIN
58,LOW
59,MATW
60,MCD
61,MCY
62,MDT
63,MDU
64,MGEE
65,MGRC
66,MKC.V
67,MMM
68,MSA
69,NDSN
70,NEE
71,NFG
72,NJR
73,NNN
74,NUE
75,NWN
76,O
77,ORI
78,PEP
79,PG
80,PH
81,PII
82,PPG
83,RLI
84,RNR
85,ROP
86,RPM
87,RTX
88,SCL
89,SEIC
90,SHW
91,SJW
92,SON
93,SPGI
94,SWK
95,SYK
96,SYY
97,T
98,TDS
99,TGT
100,TNC
101,TRI
102,TROW
103,UGI
104,UHT
105,UVV
106,WBA
107,WEYS
108,WMT
109,WST
110,WTRG
111,XOM
