index,stock
1,A
2,ABC
3,ACN
4,ACU
5,ADI
6,AEL
7,AEP
8,AFG
9,AGM
10,AGM.A
11,AGO
12,AIT
13,AIZ
14,AJG
15,ALE
16,ALL
17,ALRS
18,AMGN
19,AMP
20,AMT
21,ANDE
22,ANTM
23,AON
24,APH
25,APOG
26,AQN
27,ARE
28,ATRI
29,ATVI
30,AVA
31,AVB
32,AVGO
33,AVNT
34,AVY
35,AWK
36,AXS
37,BBY
38,BCPC
39,BF.A
40,BIP
41,BK
42,BLK
43,BMY
44,BR
45,CASS
46,CASY
47,CBOE
48,CE
49,CHDN
50,CHE
51,CHRW
52,CMCSA
53,CME
54,CMI
55,CMS
56,CNS
57,COST
58,CPK
59,CPT
60,CSCO
61,CUBE
62,DDS
63,DEI
64,DFS
65,DGICA
66,DGICB
67,DGX
68,DLR
69,DUK
70,EGP
71,EIX
72,ELS
73,EMN
74,ENSG
75,EPD
76,ES
77,ETN
78,EVR
79,EVRG
80,EXR
81,FAF
82,FAST
83,FDS
84,FLO
85,FNF
86,GATX
87,GFF
88,GGG
89,GL
90,GLW
91,GNTX
92,GRC
93,GS
94,HAS
95,HCSG
96,HD
97,HEI
98,HEI.A
99,HI
100,HIFS
101,HIG
102,HMN
103,HNI
104,HON
105,HPQ
106,HSY
107,HUBB
108,HUM
109,HWKN
110,IDA
111,IEX
112,IFF
113,INGR
114,INTU
115,IP
116,IRM
117,JBHT
118,JJSF
119,JW.B
120,K
121,KALU
122,KLAC
123,KR
124,KWR
125,LAD
126,LAZ
127,LFUS
128,LHX
129,LII
130,LMAT
131,LMT
132,LNC
133,LNN
134,LNT
135,LYB
136,MA
137,MAA
138,MAIN
139,MAN
140,MCHP
141,MCK
142,MCO
143,MGA
144,MKC
145,MKTX
146,MMC
147,MMP
148,MNRO
149,MO
150,MORN
151,MRK
152,MSEX
153,MSFT
154,MSI
155,MSM
156,NHC
157,NKE
158,NOC
159,NP
160,NSP
161,NUS
162,NWBI
163,NWE
164,ODC
165,OGE
166,OHI
167,OKE
168,ORCL
169,PAYX
170,PCAR
171,PEG
172,PETS
173,PFC
174,PFE
175,PFG
176,PKG
177,PLOW
178,PM
179,PNM
180,PNW
181,POOL
182,POR
183,PPL
184,PRGO
185,PRI
186,PRU
187,QCOM
188,R
189,RBA
190,RGA
191,RGCO
192,RGLD
193,RGP
194,RHI
195,ROK
196,ROL
197,RS
198,RSG
199,SBUX
200,SCI
201,SGU
202,SJI
203,SJM
204,SLG
205,SLGN
206,SMBC
207,SMG
208,SNA
209,SO
210,SPTN
211,SR
212,SRE
213,STE
214,STLD
215,STT
216,SWX
217,SXI
218,SXT
219,TBNK
220,TEL
221,THG
222,THO
223,TRN
224,TRNO
225,TRV
226,TSCO
227,TSN
228,TTC
229,TXN
230,UDR
231,UNH
232,UNM
233,UNP
234,UPS
235,UTMD
236,V
237,VLO
238,VSEC
239,VZ
240,WAFD
241,WCN
242,WDFC
243,WEC
244,WHR
245,WLK
246,WM
247,WOR
248,WPC
249,WRB
250,WSM
251,XEL
252,XRAY
253,XYL
254,YORW
