index,stock
1,AAON
2,AAWW
3,ABB
4,ACU
5,AGCO
6,AIMC
7,AIN
8,AIT
9,AL
10,ALG
11,ALGT
12,ALSN
13,AME
14,AMOT
15,AMRC
16,ARCB
17,ASGN
18,ASTE
19,ATKR
20,AWI
21,BA
22,BAH
23,BBSI
24,BCC
25,BLDR
26,BRC
27,BWXT
28,CACI
29,CAR
30,CAT
31,CBZ
32,CHRW
33,CLH
34,CMI
35,CNR
36,CPRT
37,CRAI
38,CSGP
39,CSL
40,CSWI
41,CSX
42,CTAS
43,CVA
44,CVGI
45,DAL
46,DCI
47,DCO
48,DE
49,DPW
50,ECHO
51,EXPD
52,EXPO
53,FAST
54,FBHS
55,FCN
56,FELE
57,FIX
58,FLY
59,FSS
60,FSTR
61,FTEK
62,FTV
63,GD
64,GFF
65,GIC
66,GNK
67,GNRC
68,GTES
69,GWW
70,HA
71,HBP
72,HCSG
73,HEES
74,HEI
75,HEI/A
76,HHR
77,HII
78,HSII
79,HTLD
80,HUBB
81,HUBG
82,HURC
83,HWM
84,IAA
85,ICFI
86,IEP
87,IESC
88,IEX
89,IIIN
90,INFO
91,J
92,JBT
93,JCTCF
94,JOBS
95,KAI
96,KAMN
97,KBR
98,KFRC
99,KMT
100,KNX
101,KRNT
102,KSU
103,LAWS
104,LDOS
105,LHX
106,LII
107,LMT
108,LNN
109,LSTR
110,LUV
111,LXFR
112,MANT
113,MAS
114,MATW
115,MATX
116,MGRC
117,MHH
118,MLHR
119,MLI
120,MLR
121,MMM
122,MNTX
123,MOG/A
124,MOG/B
125,MRCY
126,MRTN
127,MSA
128,MTZ
129,MWA
130,MYRG
131,NLSN
132,NNBR
133,NOC
134,NSC
135,NSP
136,OC
137,ODFL
138,OFLX
139,OSK
140,PESI
141,PGTI
142,PH
143,PLOW
144,PLPC
145,PPIH
146,PRIM
147,PRLB
148,PTSI
149,PWR
150,RAIL
151,RHI
152,RLGT
153,ROCK
154,ROK
155,ROL
156,ROLL
157,ROP
158,RSG
159,RUSHA
160,RUSHB
161,RXN
162,SAIA
163,SAVE
164,SHYF
165,SITE
166,SKYW
167,SNA
168,SNDR
169,SP
170,SPR
171,SSD
172,TDY
173,TILE
174,TKR
175,TNET
176,TPC
177,TREX
178,TRI
179,TRNS
180,TRTN
181,TRU
182,TTC
183,TTEK
184,UAL
185,UFPI
186,UHAL
187,ULH
188,UNF
189,UNP
190,URI
191,USX
192,VEC
193,VICR
194,VRSK
195,VRTV
196,VSEC
197,VWTR
198,WERN
199,WFCF
200,WIRE
201,WMS
202,WSO
203,WTS
204,WWD
205,YELL
206,ZTO
