index,stock
1,AAPL
2,ACN
3,ADBE
4,ADI
5,ADP
6,AKAM
7,ALRM
8,AMAT
9,AMKR
10,ANET
11,ANSS
12,APH
13,ARW
14,ASML
15,ASYS
16,AVGO
17,AZPN
18,BDC
19,BKI
20,BMI
21,BR
22,BRKS
23,CCMP
24,CDNS
25,CDW
26,CIEN
27,CLFD
28,CNXN
29,CPSH
30,CRM
31,CSCO
32,CTG
33,CTS
34,CTXS
35,CVV
36,CXDO
37,CYBR
38,DAIO
39,DIOD
40,DLB
41,DMRC
42,DOX
43,DQ
44,DXC
45,EEFT
46,ENTG
47,EPAM
48,ERIC
49,EVTC
50,EXLS
51,FICO
52,FLT
53,FORM
54,FTNT
55,G
56,GLOB
57,GNSS
58,GVP
59,GWRE
60,IIVI
61,IMMR
62,INFY
63,INS
64,INTC
65,INTU
66,INTZ
67,ISDR
68,IT
69,JCOM
70,JKHY
71,KEYS
72,KLAC
73,KOPN
74,LPL
75,LRCX
76,MA
77,MEI
78,MIXT
79,MKSI
80,MMS
81,MPWR
82,MRVL
83,MSFT
84,MSI
85,MXIM
86,NATI
87,NCR
88,NLOK
89,NSIT
90,NSSC
91,NTAP
92,NTCT
93,NTIP
94,NTWK
95,NVDA
96,OLED
97,ORCL
98,OSIS
99,PAGS
100,PAYC
101,PAYS
102,PAYX
103,PLUS
104,PLXS
105,POWI
106,PRFT
107,PYPL
108,QCOM
109,QLYS
110,QRVO
111,RAMP
112,RMBS
113,SAP
114,SEDG
115,SGMA
116,SIMO
117,SMSI
118,SNPS
119,SNX
120,SPSC
121,SSNC
122,STM
123,STX
124,SWKS
125,TER
126,TRMB
127,TSM
128,TTEC
129,TTMI
130,TXN
131,TYL
132,UI
133,UMC
134,V
135,VG
136,VMW
137,VRSN
138,WIT
139,WNS
140,WU
141,ZBRA
142,ZIXI
